file,benchmark,testrun,energy,totaltime,current,voltage,teststarttime,testendtime
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__1.csv,1,1,1.454802118,1.09,0.318934919,4.184806253,46.633,47.723
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__2.csv,1,2,1.619640194,1.11,0.348654165,4.185050562,42.013,43.123
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__3.csv,1,3,1.645556165,1.05,0.374487948,4.184904634,42.909,43.959
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__4.csv,1,4,2.190139682,1.11,0.471478089,4.184921547,41.806,42.916
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__5.csv,1,5,1.759862912,1.05,0.400523567,4.184672404,43.762,44.812
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__6.csv,1,6,0.752882743,1.06,0.169732932,4.184613615,44.237,45.297
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__7.csv,1,7,2.031624664,1.17,0.414917861,4.185000215,42.896,44.066
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__8.csv,1,8,1.772472709,1.12,0.378163265,4.18487216,42.964,44.084
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__9.csv,1,9,1.925178213,1.05,0.438094569,4.185176418,54.661,55.711
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1__10.csv,1,10,1.838075488,1.07,0.410536498,4.184347965,42.807,43.877
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__1.csv,10,1,1.818856827,1.04,0.417891748,4.185057021,45.086,46.126
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__2.csv,10,2,1.663757361,1.09,0.364746381,4.184778732,42.011,43.101
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__3.csv,10,3,1.771947921,1.05,0.403238106,4.185044574,43.26,44.31
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__4.csv,10,4,1.495843929,1.04,0.343665311,4.185209924,41.664,42.704
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__5.csv,10,5,1.507433142,1.05,0.343076349,4.18463883,57.199,58.249
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__6.csv,10,6,1.947472167,1.06,0.439048215,4.184592556,43.882,44.942
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__7.csv,10,7,1.534153569,1.06,0.345854226,4.184753509,45.244,46.304
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__8.csv,10,8,1.475512923,1.05,0.335800197,4.184781352,43.573,44.623
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__9.csv,10,9,1.73975139,1.05,0.395924808,4.184900906,40.732,41.782
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//10__10.csv,10,10,1.55813178,1.07,0.348000564,4.184470013,44.276,45.346
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__1.csv,100,1,1.348100449,1.06,0.303929458,4.18450019,50.102,51.162
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__2.csv,100,2,1.654337045,1.06,0.372962835,4.184586712,41.807,42.867
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__3.csv,100,3,2.280836694,1.1,0.495422104,4.1852955,40.962,42.062
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__4.csv,100,4,1.756092396,1.09,0.384964126,4.185049547,42.564,43.654
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__5.csv,100,5,1.746435898,1.06,0.393668886,4.185194955,42.754,43.814
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__6.csv,100,6,1.707727589,1.05,0.388633878,4.184934251,41.513,42.563
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__7.csv,100,7,1.392659884,1.05,0.316936661,4.184882688,50.345,51.395
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__8.csv,100,8,1.724447212,1.2,0.343405175,4.184675848,46.761,47.961
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__9.csv,100,9,1.947883755,1.13,0.411922104,4.184749778,42.458,43.588
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//100__10.csv,100,10,2.141819808,1.16,0.441189606,4.185040541,46.916,48.076
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1000__1.csv,1000,1,1.442823934,1.06,0.325239175,4.185088271,43.165,44.225
/Users/greenali/Desktop/loopEnergy/Output/read/read_new10p123//1000__2.csv,1000,2,1.79136149,1.07,0.400047859,4.184923323,41.246,42.316
